ValenceBand,ConductionBand,CrystalDirection,mvb,mcb,mcb_indirect,Bandgap,IndirectBandgap,ElectronAffinity,ValenceBandShape,CollisionTime,epsilonStatic,epsilonInf,NumBonds,LatticeConstant,Density,DeformationPotential,SpeedofSound,PhononFrequency,Tphonon,SellmeierForm,A,B1,C1,B2,C2,MinWavelength,MaxWavelength,Wavelength,n,kappa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,495.9,4.32,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,499.9,4.298,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,504,4.277,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,508.1,4.255,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.3,4.235,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,516.6,4.215,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,520.9,4.196,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,525.4,4.177,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,529.9,4.159,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,534.4,4.14,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,539.1,4.123,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,543.8,4.106,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,548.6,4.089,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,553.5,4.073,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,558.5,4.057,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,563.6,4.042,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.7,4.026,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,574,4.012,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,579.4,3.997,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,584.8,3.983,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,590.4,3.969,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,596.1,3.956,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,601.9,3.943,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,607.8,3.931,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,613.8,3.918,0
